months,race,contrabn,stops,month_tot,race_prop
2003-01-01,A,0,431,431.0,1.0
2003-01-01,B,0,6413,6413.0,1.0
2003-01-01,H,0,3902,4077.0,0.9570762815795928
2003-01-01,H,1,175,4077.0,0.04292371842040716
2003-01-01,W,0,1517,1642.0,0.9238733252131547
2003-01-01,W,1,125,1642.0,0.07612667478684532
2003-02-01,A,0,264,282.0,0.9361702127659575
2003-02-01,A,1,18,282.0,0.06382978723404255
2003-02-01,B,0,4829,5110.0,0.9450097847358121
2003-02-01,B,1,281,5110.0,0.05499021526418787
2003-02-01,H,0,3054,3283.0,0.930246725555894
2003-02-01,H,1,229,3283.0,0.069753274444106
2003-02-01,W,0,1207,1342.0,0.8994038748137109
2003-02-01,W,1,135,1342.0,0.10059612518628912
2003-03-01,A,0,285,293.0,0.9726962457337884
2003-03-01,A,1,8,293.0,0.027303754266211604
2003-03-01,B,0,5321,5464.0,0.9738286969253295
2003-03-01,B,1,143,5464.0,0.026171303074670572
2003-03-01,H,0,3549,3585.0,0.9899581589958159
2003-03-01,H,1,36,3585.0,0.0100418410041841
2003-03-01,W,0,1404,1468.0,0.9564032697547684
2003-03-01,W,1,64,1468.0,0.043596730245231606
2003-04-01,A,0,266,266.0,1.0
2003-04-01,B,0,5477,5732.0,0.9555129099790649
2003-04-01,B,1,255,5732.0,0.0444870900209351
2003-04-01,H,0,3247,3368.0,0.9640736342042755
2003-04-01,H,1,121,3368.0,0.03592636579572447
2003-04-01,W,0,1265,1339.0,0.9447348767737117
2003-04-01,W,1,74,1339.0,0.05526512322628827
2003-05-01,A,0,340,365.0,0.9315068493150684
2003-05-01,A,1,25,365.0,0.0684931506849315
2003-05-01,B,0,6141,6141.0,1.0
2003-05-01,H,0,3225,3296.0,0.9784587378640777
2003-05-01,H,1,71,3296.0,0.02154126213592233
2003-05-01,W,0,1605,1605.0,1.0
2003-06-01,A,0,257,257.0,1.0
2003-06-01,B,0,5175,5402.0,0.9579785264716771
2003-06-01,B,1,227,5402.0,0.04202147352832284
2003-06-01,H,0,2714,2910.0,0.9326460481099657
2003-06-01,H,1,196,2910.0,0.06735395189003436
2003-06-01,W,0,1295,1324.0,0.9780966767371602
2003-06-01,W,1,29,1324.0,0.02190332326283988
2003-07-01,A,0,320,320.0,1.0
2003-07-01,B,0,6365,6365.0,1.0
2003-07-01,H,0,3259,3293.0,0.9896750683267537
2003-07-01,H,1,34,3293.0,0.01032493167324628
2003-07-01,W,0,1340,1402.0,0.9557774607703281
2003-07-01,W,1,62,1402.0,0.0442225392296719
2003-08-01,A,0,451,451.0,1.0
2003-08-01,B,0,7491,7491.0,1.0
2003-08-01,H,0,4216,4306.0,0.979098931723177
2003-08-01,H,1,90,4306.0,0.02090106827682304
2003-08-01,W,0,1646,1646.0,1.0
2003-09-01,A,0,276,298.0,0.9261744966442953
2003-09-01,A,1,22,298.0,0.0738255033557047
2003-09-01,B,0,7244,7558.0,0.95845461762371
2003-09-01,B,1,314,7558.0,0.041545382376290026
2003-09-01,H,0,3700,3978.0,0.930115635997989
2003-09-01,H,1,278,3978.0,0.06988436400201106
2003-09-01,W,0,1575,1575.0,1.0
2003-10-01,A,0,438,466.0,0.9399141630901288
2003-10-01,A,1,28,466.0,0.060085836909871244
2003-10-01,B,0,8045,8045.0,1.0
2003-10-01,H,0,4710,4845.0,0.9721362229102167
2003-10-01,H,1,135,4845.0,0.02786377708978328
2003-10-01,W,0,1584,1584.0,1.0
2003-11-01,A,0,428,438.0,0.9771689497716894
2003-11-01,A,1,10,438.0,0.0228310502283105
2003-11-01,B,0,7709,8061.0,0.9563329611710706
2003-11-01,B,1,352,8061.0,0.043667038828929416
2003-11-01,H,0,4269,4414.0,0.967149977344812
2003-11-01,H,1,145,4414.0,0.032850022655188035
2003-11-01,W,0,1553,1613.0,0.962802231866088
2003-11-01,W,1,60,1613.0,0.037197768133911964
2003-12-01,A,0,271,271.0,1.0
2003-12-01,B,0,5599,5922.0,0.9454576156703817
2003-12-01,B,1,323,5922.0,0.054542384329618374
2003-12-01,H,0,3137,3226.0,0.972411655300682
2003-12-01,H,1,89,3226.0,0.02758834469931804
2003-12-01,W,0,1035,1083.0,0.9556786703601108
2003-12-01,W,1,48,1083.0,0.0443213296398892
2004-01-01,A,0,717,740.0,0.9689189189189189
2004-01-01,A,1,23,740.0,0.031081081081081083
2004-01-01,B,0,15147,16245.0,0.932409972299169
2004-01-01,B,1,1098,16245.0,0.06759002770083103
2004-01-01,H,0,8539,8775.0,0.9731054131054131
2004-01-01,H,1,236,8775.0,0.026894586894586896
2004-01-01,W,0,2277,2383.0,0.9555182543013009
2004-01-01,W,1,106,2383.0,0.044481745698699116
