months,race,stops,month_tot,prop
2003-01-01,A,431,12563.0,0.03430709225503462
2003-01-01,B,6413,12563.0,0.5104672450847727
2003-01-01,H,4077,12563.0,0.32452439703892383
2003-01-01,W,1642,12563.0,0.1307012656212688
2003-02-01,A,282,10017.0,0.02815214135968853
2003-02-01,B,5110,10017.0,0.5101327742837177
2003-02-01,H,3283,10017.0,0.3277428371767994
2003-02-01,W,1342,10017.0,0.13397224717979436
2003-03-01,A,293,10810.0,0.027104532839962996
2003-03-01,B,5464,10810.0,0.5054579093432008
2003-03-01,H,3585,10810.0,0.33163737280296024
2003-03-01,W,1468,10810.0,0.13580018501387603
2003-04-01,A,266,10705.0,0.024848201774871556
2003-04-01,B,5732,10705.0,0.535450723960766
2003-04-01,H,3368,10705.0,0.31461933675852405
2003-04-01,W,1339,10705.0,0.1250817375058384
2003-05-01,A,365,11407.0,0.031997896028754275
2003-05-01,B,6141,11407.0,0.5383536425002191
2003-05-01,H,3296,11407.0,0.2889453844130797
2003-05-01,W,1605,11407.0,0.14070307705794688
2003-06-01,A,257,9893.0,0.025977964217123218
2003-06-01,B,5402,9893.0,0.546042656423734
2003-06-01,H,2910,9893.0,0.2941473769331851
2003-06-01,W,1324,9893.0,0.13383200242595775
2003-07-01,A,320,11380.0,0.028119507908611598
2003-07-01,B,6365,11380.0,0.5593145869947276
2003-07-01,H,3293,11380.0,0.28936731107205627
2003-07-01,W,1402,11380.0,0.12319859402460456
2003-08-01,A,451,13894.0,0.03246005469987045
2003-08-01,B,7491,13894.0,0.539153591478336
2003-08-01,H,4306,13894.0,0.3099179501943285
2003-08-01,W,1646,13894.0,0.1184684036274651
2003-09-01,A,298,13409.0,0.022223879483928705
2003-09-01,B,7558,13409.0,0.563651278991722
2003-09-01,H,3978,13409.0,0.2966664180774107
2003-09-01,W,1575,13409.0,0.11745842344693862
2003-10-01,A,466,14940.0,0.031191432396251672
2003-10-01,B,8045,14940.0,0.5384872824631861
2003-10-01,H,4845,14940.0,0.32429718875502006
2003-10-01,W,1584,14940.0,0.10602409638554217
2003-11-01,A,438,14526.0,0.030152829409334985
2003-11-01,B,8061,14526.0,0.5549359768690624
2003-11-01,H,4414,14526.0,0.30386892468676857
2003-11-01,W,1613,14526.0,0.11104226903483409
2003-12-01,A,271,10502.0,0.025804608645972196
2003-12-01,B,5922,10502.0,0.5638925918872596
2003-12-01,H,3226,10502.0,0.3071795848409827
2003-12-01,W,1083,10502.0,0.10312321462578557
2004-01-01,A,740,28143.0,0.026294282770138223
2004-01-01,B,16245,28143.0,0.5772305724336425
2004-01-01,H,8775,28143.0,0.3118004477134634
2004-01-01,W,2383,28143.0,0.08467469708275592
2004-02-01,A,1055,37475.0,0.028152101400933955
2004-02-01,B,20270,37475.0,0.5408939292861908
2004-02-01,H,12717,37475.0,0.33934623082054705
2004-02-01,W,3433,37475.0,0.09160773849232821
2004-03-01,A,913,28566.0,0.03196107260379472
2004-03-01,B,14925,28566.0,0.5224742701113212
2004-03-01,H,10025,28566.0,0.3509416789189946
2004-03-01,W,2703,28566.0,0.09462297836588952
2004-04-01,A,822,24268.0,0.03387176528762156
2004-04-01,B,12838,24268.0,0.529009395088182
2004-04-01,H,8118,24268.0,0.33451458711059834
2004-04-01,W,2490,24268.0,0.10260425251359816
2004-05-01,A,858,23827.0,0.036009568976371344
2004-05-01,B,13163,23827.0,0.5524405086666387
2004-05-01,H,7447,23827.0,0.31254459226927434
2004-05-01,W,2359,23827.0,0.09900533008771562
2004-06-01,A,744,26993.0,0.027562701441114362
