months,race,searched,stops,month_tot,race_prop
2003-01-01,A,0,373,431.0,0.8654292343387471
2003-01-01,A,1,58,431.0,0.1345707656612529
2003-01-01,B,0,6413,6413.0,1.0
2003-01-01,H,0,3177,4077.0,0.7792494481236203
2003-01-01,H,1,900,4077.0,0.22075055187637968
2003-01-01,W,0,1273,1642.0,0.7752740560292326
2003-01-01,W,1,369,1642.0,0.22472594397076737
2003-02-01,A,0,236,282.0,0.8368794326241135
2003-02-01,A,1,46,282.0,0.16312056737588654
2003-02-01,B,0,4428,5110.0,0.8665362035225049
2003-02-01,B,1,682,5110.0,0.1334637964774951
2003-02-01,H,0,3018,3283.0,0.9192811452939385
2003-02-01,H,1,265,3283.0,0.08071885470606154
2003-02-01,W,0,1167,1342.0,0.8695976154992549
2003-02-01,W,1,175,1342.0,0.13040238450074515
2003-03-01,A,0,266,293.0,0.9078498293515358
2003-03-01,A,1,27,293.0,0.09215017064846416
2003-03-01,B,0,4230,5464.0,0.7741581259150805
2003-03-01,B,1,1234,5464.0,0.22584187408491949
2003-03-01,H,0,3193,3585.0,0.8906555090655509
2003-03-01,H,1,392,3585.0,0.10934449093444909
2003-03-01,W,0,1393,1468.0,0.9489100817438693
2003-03-01,W,1,75,1468.0,0.05108991825613079
2003-04-01,A,0,255,266.0,0.9586466165413534
2003-04-01,A,1,11,266.0,0.041353383458646614
2003-04-01,B,0,5007,5732.0,0.8735170969993021
2003-04-01,B,1,725,5732.0,0.12648290300069784
2003-04-01,H,0,3212,3368.0,0.9536817102137767
2003-04-01,H,1,156,3368.0,0.04631828978622328
2003-04-01,W,0,1225,1339.0,0.9148618371919343
2003-04-01,W,1,114,1339.0,0.08513816280806571
2003-05-01,A,0,297,365.0,0.8136986301369863
2003-05-01,A,1,68,365.0,0.1863013698630137
2003-05-01,B,0,5443,6141.0,0.8863377300113988
2003-05-01,B,1,698,6141.0,0.11366226998860121
2003-05-01,H,0,3086,3296.0,0.9362864077669902
2003-05-01,H,1,210,3296.0,0.06371359223300971
2003-05-01,W,0,1571,1605.0,0.9788161993769471
2003-05-01,W,1,34,1605.0,0.02118380062305296
2003-06-01,A,0,250,257.0,0.9727626459143969
2003-06-01,A,1,7,257.0,0.027237354085603113
2003-06-01,B,0,4914,5402.0,0.9096630877452795
2003-06-01,B,1,488,5402.0,0.09033691225472047
2003-06-01,H,0,2507,2910.0,0.861512027491409
2003-06-01,H,1,403,2910.0,0.13848797250859107
2003-06-01,W,0,1262,1324.0,0.9531722054380665
2003-06-01,W,1,62,1324.0,0.04682779456193353
2003-07-01,A,0,295,320.0,0.921875
2003-07-01,A,1,25,320.0,0.078125
2003-07-01,B,0,5277,6365.0,0.8290652003142184
2003-07-01,B,1,1088,6365.0,0.17093479968578162
2003-07-01,H,0,3259,3293.0,0.9896750683267537
2003-07-01,H,1,34,3293.0,0.01032493167324628
2003-07-01,W,0,1253,1402.0,0.8937232524964337
2003-07-01,W,1,149,1402.0,0.10627674750356633
2003-08-01,A,0,423,451.0,0.9379157427937915
2003-08-01,A,1,28,451.0,0.06208425720620843
2003-08-01,B,0,7176,7491.0,0.9579495394473369
2003-08-01,B,1,315,7491.0,0.0420504605526632
2003-08-01,H,0,4106,4306.0,0.9535531816070599
2003-08-01,H,1,200,4306.0,0.046446818392940084
2003-08-01,W,0,1596,1646.0,0.9696233292831106
2003-08-01,W,1,50,1646.0,0.030376670716889428
2003-09-01,A,0,280,298.0,0.9395973154362416
2003-09-01,A,1,18,298.0,0.06040268456375839
2003-09-01,B,0,6538,7558.0,0.8650436623445356
2003-09-01,B,1,1020,7558.0,0.13495633765546441
2003-09-01,H,0,3108,3978.0,0.7812971342383107
2003-09-01,H,1,870,3978.0,0.2187028657616893
2003-09-01,W,0,1508,1575.0,0.9574603174603175
2003-09-01,W,1,67,1575.0,0.04253968253968254
2003-10-01,A,0,453,466.0,0.9721030042918455
2003-10-01,A,1,13,466.0,0.027896995708154508
2003-10-01,B,0,7022,8045.0,0.8728402734617775
2003-10-01,B,1,1023,8045.0,0.1271597265382225
2003-10-01,H,0,4813,4845.0,0.9933952528379772
2003-10-01,H,1,32,4845.0,0.006604747162022704
2003-10-01,W,0,1326,1584.0,0.8371212121212122
2003-10-01,W,1,258,1584.0,0.16287878787878787
2003-11-01,A,0,410,438.0,0.9360730593607306
2003-11-01,A,1,28,438.0,0.0639269406392694
2003-11-01,B,0,7565,8061.0,0.9384691725592358
2003-11-01,B,1,496,8061.0,0.06153082744076417
2003-11-01,H,0,4160,4414.0,0.9424558223833258
2003-11-01,H,1,254,4414.0,0.05754417761667422
2003-11-01,W,0,1613,1613.0,1.0
2003-12-01,A,0,271,271.0,1.0
2003-12-01,B,0,5599,5922.0,0.9454576156703817
